ID,Customer Name,Division,Gender,MaritalStatus,Age,Income
BU79786,Andrew,Dhaka,F,Married,44,56274
QZ44356,Anne,Rajshahi,F,Single,34,0
AI49188,Anthony,Khulna,F,Married,35,48767
WW63253,Barbara,Barishal,M,Married,25,0
HB64268,Brian,Mymensingh,M,Single,27,43836
OC83172,Bruce,Sylhet,F,Married,29,62902
XZ87318,Carol,Khulna,F,Married,48,55350
CF85061,Christine,Barishal,M,Single,35,0
DY87989,Christopher,Mymensingh,M,Divorced,36,14072
BQ94931,Craig,Sylhet,F,Married,30,28812
SX51350,David,Rangpur,M,Single,41,0
VQ65197,Diane,Chattogram,F,Married,36,0
DP39365,Elizabeth,Dhaka,M,Married,39,77026
SJ95423,Grant,Rajshahi,M,Married,45,99845
IL66569,Gregory,Khulna,M,Single,36,83689
BW63560,Heather,Barishal,F,Married,29,24599
FV94802,Helen,Mymensingh,M,Married,37,25049
OE15005,Ian,Sylhet,M,Married,48,28855
WC83389,James,Rangpur,M,Married,25,51148
FL50705,Janet,Chattogram,F,Married,43,66140
ZK25313,Janice,Dhaka,M,Single,30,57749
SV62436,Jennifer,Rajshahi,F,Divorced,45,13789
YH23384,John,Mymensingh,M,Divorced,32,14072
TZ98966,Judith,Sylhet,F,Single,50,0
HM55802,Julie,Rangpur,F,Married,30,17870
FS42516,Karen,Chattogram,M,Married,36,97541
US89481,Kevin,Dhaka,F,Single,27,0
HO30839,Linda,Rajshahi,F,Married,33,10511
GE62437,Lorraine,Khulna,F,Single,39,86584
EJ77678,Lynette,Rangpur,F,Married,31,75690
SV85652,Margaret,Chattogram,M,Married,43,23158
UL64533,Mark,Dhaka,M,Married,33,65999
PF41800,Mary,Rajshahi,M,Married,45,0
AO98601,Michael,Khulna,M,Married,39,54500
SK67821,Pamela,Barishal,F,Married,42,37260
YV55495,Patricia,Mymensingh,F,Married,27,68987
KY38074,Paul,Sylhet,M,Married,37,42305
DM79012,Peter,Rangpur,F,Married,41,65706
CM61827,Philip,Chattogram,M,Single,34,0
WC35801,Richard,Khulna,M,Divorced,37,53243
QG25316,Robert,Rangpur,F,Married,43,0
MB98372,Robyn,Chattogram,F,Single,49,50071
IL19217,Sandra,Dhaka,F,Married,49,60021
SR38658,Stephen,Rajshahi,M,Married,43,43244
DH41343,Steven,Mymensingh,M,Married,44,92834
HG65722,Susan,Sylhet,F,Married,31,10105
BU27331,Suzanne,Rangpur,M,Single,49,0
XM45289,Wayne,Chattogram,F,Single,26,23218
KP34198,Wendy,Khulna,F,Married,24,0
WE95729,William,Sylhet,F,Married,47,0
